epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1752,1.49146,0.9983,0.90798,0.76054,0.54452,0.6179,0.43513,1.49441,0.98858,0.916,0.000190235,0.000190235,0.000190235
2,68.3158,1.55075,1.05317,0.91861,0.66298,0.52898,0.58291,0.40294,1.51023,1.05464,0.91913,0.000384323,0.000384323,0.000384323
3,96.4639,1.57784,1.08202,0.91942,0.73048,0.5453,0.59091,0.40136,1.57468,1.07485,0.93222,0.000576471,0.000576471,0.000576471
4,122.217,1.57905,1.07299,0.92381,0.69107,0.50367,0.56294,0.38398,1.60336,1.1215,0.93801,0.000579268,0.000579268,0.000579268
5,147.383,1.59762,1.09577,0.92199,0.68416,0.48328,0.54364,0.36746,1.60924,1.13161,0.9359,0.000576358,0.000576358,0.000576358
6,176.956,1.5873,1.08713,0.92377,0.64935,0.52113,0.57656,0.38908,1.61081,1.0766,0.94022,0.000573447,0.000573447,0.000573447
7,203.307,1.55516,1.06201,0.91985,0.6371,0.53082,0.56631,0.39423,1.53404,1.10785,0.9304,0.000570536,0.000570536,0.000570536
8,229.824,1.59488,1.07856,0.92588,0.72375,0.48969,0.56571,0.37358,1.62418,1.12914,0.93884,0.000567626,0.000567626,0.000567626
9,257.999,1.57654,1.05785,0.92423,0.66789,0.53725,0.58492,0.39592,1.56004,1.06688,0.92756,0.000564715,0.000564715,0.000564715
10,283.862,1.59538,1.07844,0.92384,0.66769,0.53301,0.58827,0.40457,1.5418,1.04033,0.92478,0.000561805,0.000561805,0.000561805
11,310.368,1.53559,1.04015,0.91661,0.66949,0.52969,0.58154,0.4063,1.55603,1.07903,0.92448,0.000558894,0.000558894,0.000558894
12,338.716,1.52594,1.03382,0.91621,0.67716,0.54334,0.59466,0.41797,1.53423,1.07558,0.92333,0.000555983,0.000555983,0.000555983
13,363.776,1.58707,1.06258,0.92276,0.69742,0.53255,0.59326,0.41618,1.55031,1.04839,0.92767,0.000553073,0.000553073,0.000553073
14,388.588,1.57144,1.05646,0.91838,0.74696,0.54022,0.60184,0.3998,1.59133,1.03849,0.9325,0.000550162,0.000550162,0.000550162
15,416.27,1.54601,1.03376,0.91883,0.73013,0.56539,0.6223,0.42679,1.53748,1.04703,0.92659,0.000547252,0.000547252,0.000547252
16,441.856,1.55953,1.03671,0.91995,0.75739,0.5403,0.62063,0.42907,1.51135,1.02307,0.91986,0.000544341,0.000544341,0.000544341
17,467.063,1.53801,1.01689,0.9189,0.7526,0.53739,0.62162,0.4384,1.52677,1.02412,0.92833,0.00054143,0.00054143,0.00054143
18,493.5,1.56041,1.03205,0.91783,0.72075,0.55055,0.60182,0.40361,1.56218,1.06055,0.92758,0.00053852,0.00053852,0.00053852
19,519.964,1.56844,1.03108,0.91904,0.73896,0.55348,0.6185,0.42737,1.50985,1.00871,0.91796,0.000535609,0.000535609,0.000535609
20,545.223,1.54539,1.03006,0.91604,0.67487,0.54497,0.58887,0.40502,1.57925,1.05954,0.93294,0.000532699,0.000532699,0.000532699
21,572.344,1.516,1.00897,0.90977,0.72925,0.54596,0.61487,0.42141,1.51068,0.99703,0.92136,0.000529788,0.000529788,0.000529788
22,598.654,1.56078,1.03256,0.91998,0.75288,0.53053,0.6065,0.41633,1.60282,1.11872,0.94082,0.000526877,0.000526877,0.000526877
23,623.51,1.55157,1.03618,0.92115,0.76247,0.54586,0.6384,0.43986,1.52066,0.98099,0.92038,0.000523967,0.000523967,0.000523967
24,649.484,1.50884,1.00775,0.91146,0.72126,0.55386,0.6272,0.44296,1.49957,0.98347,0.91856,0.000521056,0.000521056,0.000521056
25,675.615,1.5281,1.00892,0.91199,0.7695,0.54215,0.61806,0.42298,1.53523,1.0784,0.92327,0.000518146,0.000518146,0.000518146
26,700.567,1.52882,1.01352,0.91371,0.70394,0.53624,0.59982,0.40485,1.55276,1.05424,0.92401,0.000515235,0.000515235,0.000515235
27,728.281,1.51689,1.00071,0.90956,0.75535,0.53999,0.61637,0.43469,1.48331,1.01036,0.91409,0.000512324,0.000512324,0.000512324
28,754.714,1.50915,0.98976,0.91033,0.75154,0.57904,0.64289,0.44339,1.50573,0.9787,0.9173,0.000509414,0.000509414,0.000509414
29,780.023,1.52764,1.00491,0.91208,0.7546,0.56655,0.6307,0.43585,1.49717,0.98954,0.91407,0.000506503,0.000506503,0.000506503
30,807.787,1.50717,0.99327,0.91169,0.76017,0.55565,0.62976,0.43578,1.50447,0.98569,0.92099,0.000503593,0.000503593,0.000503593
31,834.702,1.52024,0.99829,0.91499,0.72205,0.57455,0.62954,0.4347,1.52825,1.0033,0.92319,0.000500682,0.000500682,0.000500682
32,860.305,1.53899,0.99791,0.91515,0.68935,0.53365,0.59954,0.41926,1.47956,1.03083,0.91759,0.000497771,0.000497771,0.000497771
33,887.269,1.49793,0.97813,0.911,0.76584,0.5327,0.61249,0.40365,1.56561,1.03173,0.92678,0.000494861,0.000494861,0.000494861
34,914.208,1.50869,0.99787,0.90922,0.76284,0.5557,0.62922,0.44042,1.48631,1.01995,0.91915,0.00049195,0.00049195,0.00049195
35,939.164,1.49026,0.97941,0.90943,0.72887,0.57505,0.64053,0.4418,1.49034,1.00184,0.91418,0.00048904,0.00048904,0.00048904
36,966.775,1.49183,0.97578,0.90808,0.78041,0.56622,0.64661,0.451,1.48498,0.96305,0.91338,0.000486129,0.000486129,0.000486129
37,992.998,1.47936,0.9579,0.90341,0.74259,0.55865,0.63816,0.44078,1.52075,0.97326,0.91899,0.000483218,0.000483218,0.000483218
