epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3319,1.72671,1.34795,0.98134,0.46224,0.37604,0.39209,0.27179,1.68669,1.29602,0.97981,0.000190235,0.000190235,0.000190235
2,76.8638,1.7488,1.36298,0.98403,0.42531,0.37997,0.38463,0.26527,1.70273,1.34414,0.9849,0.000382412,0.000382412,0.000382412
3,108.395,1.75989,1.36698,0.97648,0.50867,0.36204,0.40078,0.27327,1.69525,1.32176,0.98254,0.000570707,0.000570707,0.000570707
4,136.027,1.73377,1.326,0.97643,0.52776,0.34821,0.37628,0.2366,1.79757,1.40151,1.01281,0.000570536,0.000570536,0.000570536
5,165.508,1.76399,1.36068,0.97775,0.47016,0.39717,0.41449,0.27555,1.74008,1.37534,0.98502,0.000564715,0.000564715,0.000564715
