epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1060.66,1.67833,1.2147,0.94386,0.49924,0.49073,0.49599,0.33964,1.60562,1.17659,0.94336,0.000349331,0.000349331,0.000349331
43,1085.04,1.64621,1.21019,0.94144,0.54509,0.46134,0.47961,0.3321,1.67109,1.19862,0.94151,0.00034351,0.00034351,0.00034351
44,1110.7,1.68023,1.22035,0.94448,0.55318,0.49534,0.50762,0.34919,1.59839,1.14386,0.93954,0.000337688,0.000337688,0.000337688
45,1135.13,1.65312,1.19832,0.9432,0.5683,0.48938,0.50698,0.34636,1.58578,1.14462,0.93593,0.000331867,0.000331867,0.000331867
46,1160.49,1.66855,1.2047,0.93988,0.57573,0.49312,0.51569,0.35498,1.58445,1.13432,0.93961,0.000326046,0.000326046,0.000326046
47,1185.13,1.6524,1.19869,0.93519,0.52521,0.50164,0.50826,0.34982,1.60121,1.13981,0.93593,0.000320225,0.000320225,0.000320225
48,1210.56,1.62212,1.16813,0.93847,0.55861,0.47207,0.50727,0.34081,1.60592,1.1606,0.94236,0.000314404,0.000314404,0.000314404
49,1234.62,1.62007,1.16274,0.93438,0.59973,0.48639,0.5329,0.37212,1.57071,1.12421,0.9337,0.000308582,0.000308582,0.000308582
50,1260.16,1.62057,1.16459,0.93684,0.60485,0.49062,0.51832,0.35847,1.5951,1.13574,0.93516,0.000302761,0.000302761,0.000302761
51,1284.54,1.61272,1.16072,0.93263,0.66751,0.48521,0.53023,0.36835,1.56683,1.10115,0.93404,0.00029694,0.00029694,0.00029694
52,1309.24,1.60154,1.14882,0.93086,0.62721,0.49428,0.52853,0.36903,1.56659,1.09457,0.93232,0.000291119,0.000291119,0.000291119
53,1334.06,1.60448,1.14368,0.92916,0.60821,0.49309,0.5447,0.36995,1.60199,1.10216,0.93738,0.000285298,0.000285298,0.000285298
54,1358.52,1.6016,1.14385,0.93248,0.59754,0.5084,0.54127,0.37739,1.56519,1.07808,0.93174,0.000279476,0.000279476,0.000279476
55,1383.57,1.60474,1.12234,0.92804,0.5707,0.47921,0.52412,0.35841,1.57507,1.09953,0.93008,0.000273655,0.000273655,0.000273655
56,1408.09,1.61119,1.13971,0.93377,0.6252,0.50375,0.55258,0.38455,1.56612,1.0921,0.93192,0.000267834,0.000267834,0.000267834
57,1432.88,1.60586,1.13248,0.93348,0.61462,0.50536,0.55339,0.38737,1.55148,1.07416,0.92671,0.000262013,0.000262013,0.000262013
58,1457.27,1.56426,1.11448,0.9273,0.62044,0.516,0.56318,0.39,1.55011,1.09092,0.9284,0.000256192,0.000256192,0.000256192
59,1482.84,1.56342,1.09568,0.92209,0.63114,0.52377,0.5637,0.39357,1.53647,1.06197,0.92266,0.00025037,0.00025037,0.00025037
60,1506.65,1.62361,1.13003,0.92883,0.61527,0.52909,0.56149,0.38095,1.61951,1.08284,0.93696,0.000244549,0.000244549,0.000244549
